Leasing,Spalanie W Cyklu Mieszanym,Generacja,Skrzynia biegów,Rok produkcji,Kierownica po prawej (Anglik),Pojemność skokowa,Pojemność baterii,Liczba pozostałych rat,Kraj pochodzenia,Opłata początkowa,Oferta od,Rodzaj paliwa,Wartość wykupu,Zarejestrowany jako zabytek,Rodzaj koloru,Moc,Rodzaj własności baterii,Gwarancja dealerska (w cenie),Napęd,Tuning,Kolor,Bezwypadkowy,Przebieg,Możliwość finansowania,Ma numer rejestracyjny,Data pierwszej rejestracji w historii pojazdu,Homologacja ciężarowa,Spalanie Poza Miastem,Model pojazdu,Liczba drzwi,VAT marża,Faktura VAT,Numer rejestracyjny pojazdu,Emisja CO2,Autonomia,Stan,Cena,lub do (przebieg km),Wersja,Miesięczna rata,Zarejestrowany w Polsce,Okres gwarancji producenta,Pokaż oferty z numerem VIN,Pierwszy właściciel (od nowości),Serwisowany w ASO,Liczba miejsc,Marka pojazdu,Spalanie W Mieście,Uszkodzony,Średnie zużycie,Typ nadwozia
,,K (2015-2021),Manualna,2018,,1 598 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,136 KM,,,Na przednie koła,,Czarny,Tak,192 900 km,,Tak,22 marzec 2018,,3.4 l/100km,Astra,5,,,FG 1442R,101 g/km,,Używane,44 900,,,,Tak,,Tak,,Tak,5,Opel,"4,50 l/100km",,,Kombi
,,,Manualna,2013,,998 cm3,,,,,Prywatne,Benzyna,,,,100 KM,,,Na przednie koła,,Srebrny,,130 000 km,,Tak,13 maj 2013,,4.2 l/100km,B-MAX,5,,,1FXJ386,114 g/km,,Używane,25 900,,1.0 EcoBoost SYNC Edition,,,,Tak,,,5,Ford,6 l/100km,,,Minivan
,,,Automatyczna,2014,,1 984 cm3,,,,,Prywatne,Benzyna,,,,224 KM,,,4x4 (stały),,Granatowy,,243 000 km,,Tak,,,5.0 l/100km,A4 Allroad,5,,,,137 g/km,,Używane,49 900,,2.0 TFSI Quattro S tronic,,,,Tak,,,5,Audi,"5,40 l/100km",,,Kombi
,,II (2010-),Manualna,2011,,1 364 cm3,,,Francja,,Prywatne,Benzyna,,,Metalik,120 KM,,,Na przednie koła,,Inny kolor,Tak,138 000 km,,Tak,14 listopad 2011,,,Meriva,5,,,BX337QB,,,Używane,23 900,,,,,,Tak,,Tak,5,Opel,,,,Minivan
,,II (2007-),Manualna,2013,,1 368 cm3,,,Polska,,Prywatne,Benzyna+LPG,,,,90 KM,,,Na przednie koła,,Niebieski,Tak,150 000 km,,Tak,,,5.0 l/100km,Bravo,5,,,,146 g/km,,Używane,24 900,,1.4 16V Easy,,Tak,,Tak,Tak,,5,Fiat,8 l/100km,,,Kompakt
,,W205 (2014-2021),Automatyczna,2018,,1 497 cm3,,,Polska,,Prywatne,Benzyna,,,Metalik,184 KM,,,4x4 (stały),,Biały,,80 000 km,,Tak,,,5.0 l/100km,Klasa C,4,,,,152 g/km,,Używane,125 000,,200 4MATIC 9G-TRONIC,,Tak,,Tak,Tak,Tak,5,Mercedes-Benz,8 l/100km,,,Sedan
,,W221 (2005-2013),Automatyczna,2011,,2 987 cm3,,,Niemcy,,Prywatne,Diesel,,,,258 KM,,,4x4 (stały),,Szary,Tak,166 400 km,,Tak,04 kwiecień 2011,,5.1 l/100km,Klasa S,4,,,WI2277S,156 g/km,,Używane,98 000,,350 (BlueTEC) d L 4Matic 7G-TRONIC,,Tak,,Tak,,Tak,5,Mercedes-Benz,"7,40 l/100km",,,Sedan
,,,Automatyczna,2018,,1 998 cm3,,,Polska,,Prywatne,Benzyna,,,,192 KM,,,Na przednie koła,,Złoty,Tak,41 000 km,,Tak,08 marzec 2018,,4.0 l/100km,X2,5,,,DW9VY58,126 g/km,,Używane,132 840,,sDrive20i GPF M Sport X,,Tak,,Tak,,,5,BMW,6 l/100km,,,SUV
Tak,,,Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,4 km,Tak,,,,,Kodiaq,5,,Tak,,,,Nowe,210 740,,2.0 TSI 4x4 Style DSG,,,,,,,5,Skoda,,,,SUV
,,,Automatyczna,2014,,2 993 cm3,,,Polska,,Prywatne,Diesel,,,Metalik,238 KM,,,4x4 (dołączany automatycznie),,Fioletowy,Tak,270 000 km,,Tak,14 styczeń 2015,,5.0 l/100km,QX70,5,,,X,199 g/km,,Używane,81 200,,3.0d S Premium,,Tak,,Tak,,,5,Infiniti,10 l/100km,,,SUV
Tak,,,Automatyczna,2019,,1 598 cm3,,,Polska,,Firma,Benzyna,,,Perłowy,180 KM,,,Na przednie koła,,Biały,Tak,53 000 km,Tak,Tak,12 grudzień 2019,,,C5 Aircross,5,,Tak,WN4113M,,,Używane,112 900,,1.6 PureTech Feel EAT8,,Tak,,Tak,Tak,Tak,5,Citroën,,,,SUV
,,II (2013-2021),Automatyczna,2014,,1 598 cm3,,,Polska,,Prywatne,Diesel,,,,130 KM,,,Na przednie koła,,Inny kolor,Tak,239 000 km,,Tak,,,,Qashqai,5,,,,,,Używane,49 000,,,,Tak,,Tak,,Tak,5,Nissan,,,,SUV
Tak,,C8 (2018-),Automatyczna,2021,,2 967 cm3,,,Niemcy,,Firma,Diesel,,,Metalik,286 KM,,,4x4 (stały),,Biały,Tak,139 900 km,Tak,Tak,,,,A6,5,,Tak,S-LINE,,,Używane,166 900,,,,,,Tak,Tak,Tak,5,Audi,,,,Kombi
,,III (2006-2012),Automatyczna,2011,,1 987 cm3,,,,,Prywatne,Benzyna,,,Metalik,158 KM,,,4x4 (dołączany ręcznie),,Srebrny,,173 304 km,,Tak,07 luty 2011,,6.5 l/100km,RAV4,5,,,WP CARS,177 g/km,,Używane,49 800,,2.0 4x4 Multidrive S Life,,,,Tak,,,5,Toyota,"9,60 l/100km",,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Automatyczna,2014,,2 993 cm3,,,Polska,,Prywatne,Diesel,,,Metalik,238 KM,,,4x4 (dołączany automatycznie),,Fioletowy,Tak,270 000 km,,Tak,14 styczeń 2015,,5.0 l/100km,QX70,5,,,X,199 g/km,,Używane,81 200,,3.0d S Premium,,Tak,,Tak,,,5,Infiniti,10 l/100km,,,SUV
Tak,,,Automatyczna,2019,,1 598 cm3,,,Polska,,Firma,Benzyna,,,Perłowy,180 KM,,,Na przednie koła,,Biały,Tak,53 000 km,Tak,Tak,12 grudzień 2019,,,C5 Aircross,5,,Tak,WN4113M,,,Używane,112 900,,1.6 PureTech Feel EAT8,,Tak,,Tak,Tak,Tak,5,Citroën,,,,SUV
,,II (2013-2021),Automatyczna,2014,,1 598 cm3,,,Polska,,Prywatne,Diesel,,,,130 KM,,,Na przednie koła,,Inny kolor,Tak,239 000 km,,Tak,,,,Qashqai,5,,,,,,Używane,49 000,,,,Tak,,Tak,,Tak,5,Nissan,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tak,,C8 (2018-),Automatyczna,2021,,2 967 cm3,,,Niemcy,,Firma,Diesel,,,Metalik,286 KM,,,4x4 (stały),,Biały,Tak,139 900 km,Tak,Tak,,,,A6,5,,Tak,S-LINE,,,Używane,166 900,,,,,,Tak,Tak,Tak,5,Audi,,,,Kombi
,,II (2007-2021),Manualna,2016,,1 461 cm3,,,,,Prywatne,Diesel,,,Metalik,75 KM,,,Na przednie koła,,Biały,,308 113 km,,Tak,27 kwiecień 2016,,4.8 l/100km,Kangoo,4,,,RDE73711,137 g/km,,Używane,21 900,,dCi 75 FAP Authentique,,Tak,,Tak,,,2,Renault,"5,90 l/100km",,,Minivan
,,III (2006-2012),Automatyczna,2011,,1 987 cm3,,,,,Prywatne,Benzyna,,,Metalik,158 KM,,,4x4 (dołączany ręcznie),,Srebrny,,173 304 km,,Tak,07 luty 2011,,6.5 l/100km,RAV4,5,,,WP CARS,177 g/km,,Używane,49 800,,2.0 4x4 Multidrive S Life,,,,Tak,,,5,Toyota,"9,60 l/100km",,,SUV
,,III (2013-),Manualna,2015,,1 998 cm3,,,,,Prywatne,Benzyna,,,Metalik,120 KM,,,Na przednie koła,,Czerwony,,170 000 km,,Tak,15 październik 2015,,4.0 l/100km,3,5,,,WSZ4M52,119 g/km,,Używane,50 000,,2.0 Skyenergy,,,,Tak,,,5,Mazda,6 l/100km,,,Kompakt
,,I (2008-2017),Automatyczna,2015,,1 969 cm3,,,,,Prywatne,Diesel,,,Metalik,149 KM,,,Na przednie koła,,Złoty,,242 000 km,,Tak,,,,XC 60,5,,,,,,Używane,54 900,,,,,,Tak,,,5,Volvo,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,K (2015-2021),Manualna,2020,,1 496 cm3,,,Polska,,Firma,Diesel,,,Metalik,122 KM,,,Na przednie koła,,Czarny,Tak,97 000 km,,Tak,,,,Astra,5,,,,,,Używane,50 600,,,,Tak,,Tak,,Tak,5,Opel,,,,Kombi
,,B8 (2007-2015),Automatyczna,2012,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,143 KM,,,Na przednie koła,,Czarny,Tak,277 500 km,,Tak,,,4.5 l/100km,A4,5,,,,129 g/km,,Używane,41 500,,Avant 2.0 TDI DPF multitronic Ambiente,,Tak,,Tak,,Tak,5,Audi,"5,60 l/100km",,,Kombi
Tak,,,Manualna,2023,,999 cm3,,,Polska,,Firma,Benzyna,,,,110 KM,,,Na przednie koła,,Szary,Tak,1 km,Tak,,,,,T-Roc,5,,Tak,,,,Nowe,106 999,,1.0 TSI Life,,,,Tak,,,5,Volkswagen,,,,Kompakt
,,IV (2020-),Manualna,2024,,1 968 cm3,,,,,Firma,Diesel,,,Metalik,115 KM,,,Na przednie koła,,Srebrny,Tak,7 km,Tak,,,,,Octavia,5,,Tak,,,,Nowe,135 700,,2.0 TDI Ambition,,,,,,,5,Skoda,,,,Sedan
,,,Automatyczna,2020,,1 950 cm3,,,,,Prywatne,Diesel,,,,163 KM,,,4x4 (stały),,Czarny,,26 000 km,,Tak,04 sierpień 2020,,,GLC,5,,,CB625LL,,,Używane,189 999,,200 d 4-Matic,,,,Tak,,,5,Mercedes-Benz,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Automatyczna,2022,,1 199 cm3,,,Polska,,Firma,Benzyna,,,Metalik,130 KM,,,,,Czerwony,Tak,11 329 km,Tak,Tak,15 listopad 2022,,,C3 Aircross,5,,Tak,WW7720Y,,,Używane,85 990,,1.2 PureTech GPF Shine Pack S&S EAT6,,Tak,,Tak,Tak,Tak,5,Citroën,,,,SUV
,,J (2009-2019),Manualna,2011,,1 364 cm3,,,,,Prywatne,Benzyna,,,,140 KM,,,Na przednie koła,,Czarny,Tak,228 000 km,,Tak,28 lipiec 2011,,,Astra,5,,,ELC52565,,,Używane,26 900,,1.4 Turbo Sports Tourer,,Tak,,Tak,,,5,Opel,"8,10 l/100km",,,Kombi
,,I (2010-2018),Automatyczna,2016,,1 997 cm3,,,Francja,,Prywatne,Diesel,,,Metalik,180 KM,,,Na przednie koła,,Szary,,249 000 km,,Tak,18 lipiec 2016,,4.0 l/100km,508,5,,,WWL9552P,120 g/km,,Używane,59 600,,2.0 BlueHDi Allure S&S,,,,Tak,,,5,Peugeot,5 l/100km,,,Kombi
Tak,,,Automatyczna,2023,,1 498 cm3,,,Polska,,Firma,Benzyna,,,Metalik,150 KM,,,Na przednie koła,,Czerwony,Tak,10 800 km,Tak,,,,,Leon,5,,Tak,,,,Używane,133 000,,1.5 eTSI DSG,,Tak,,Tak,Tak,Tak,5,Cupra,,,,Kompakt
,,VI (2020-),Automatyczna,2023,,2 498 cm3,,,Polska,,Prywatne,Benzyna,,,Perłowy,169 KM,,,4x4 (stały),,Szary,Tak,4 121 km,,Tak,14 sierpień 2023,,6.0 l/100km,Outback,5,,,KRA216AW,169 g/km,,Używane,195 900,100 000 km,2.5i Platinum (EyeSight) Lineartronic,,Tak,14 Sierpnia 2026,Tak,Tak,Tak,5,Subaru,9 l/100km,,,SUV
,,,Manualna,2012,,1 956 cm3,,,Francja,,Prywatne,Diesel,,,Metalik,140 KM,,,Na przednie koła,,Srebrny,Tak,223 000 km,,Tak,31 lipiec 2012,,,Giulietta,5,,,BL408KC,,,Używane,24 900,,,,,,Tak,,Tak,5,Alfa Romeo,,,,Kompakt
,,III (2015-),Manualna,2015,,1 499 cm3,,,,,Prywatne,Diesel,,,Perłowy,105 KM,,,Na przednie koła,,Biały,,92 000 km,,Tak,,,,2,5,,,,,,Używane,39 900,,,,Tak,,Tak,,,5,Mazda,,,,Auta miejskie
,,,Manualna,2013,,999 cm3,,,Szwajcaria,,Prywatne,Benzyna,,,Metalik,120 KM,,,Na przednie koła,,Czarny,Tak,162 000 km,,Tak,,,4.0 l/100km,B-MAX,5,,,,114 g/km,,Używane,22 800,,1.0 EcoBoost Titanium X,,Tak,,Tak,,Tak,5,Ford,6 l/100km,,,Kompakt
Tak,,II (2016-2024),Automatyczna,2024,,1 395 cm3,,,Polska,,Firma,Hybryda,,,Perłowy,245 KM,,,Na przednie koła,,Czarny,Tak,1 km,Tak,,,,,Tiguan,5,,Tak,,,,Nowe,213 870,,,,,,,,,5,Volkswagen,,,,SUV
Tak,,II (2016-2024),Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,190 KM,,,4x4 (dołączany automatycznie),,Srebrny,Tak,1 km,Tak,,,,,Tiguan,5,,Tak,,,,Nowe,211 350,,2.0 TSI 4Mot R-Line DSG,,,,,,,5,Volkswagen,,,,SUV
Tak,,,Automatyczna,2023,,,,,Polska,,Firma,Elektryczny,,,,231 KM,,,Na tylne koła,,Biały,Tak,413 km,Tak,,,,,Born,5,,Tak,,,,Nowe,199 900,,,,,,Tak,,,5,Cupra,,,,Kompakt
,,II (2007-2014),Manualna,2008,,1 598 cm3,,,Niemcy,,Prywatne,Benzyna,,,,105 KM,,,Na przednie koła,,Szary,Tak,220 000 km,,Tak,17 lipiec 2008,,5.6 l/100km,Fabia,5,,,DJEEG75,165 g/km,,Używane,13 900,,1.6 16V Combi Ambiente,,Tak,,Tak,,Tak,5,Skoda,"9,10 l/100km",,,Kombi
,,K14 (2017-),Manualna,2017,,898 cm3,,,Polska,,Firma,Benzyna,,,Metalik,90 KM,,,Na przednie koła,,Zielony,,103 278 km,Tak,Tak,,,,Micra,5,Tak,,DB5081J,,,Używane,43 500,,0.9 IG-T BOSE Personal Premium Edition,,Tak,,Tak,Tak,,5,Nissan,6 l/100km,,,Kompakt
Tak,,,Automatyczna,2024,,1 395 cm3,,,Polska,,Firma,Hybryda,,,Metalik,218 KM,,,Na przednie koła,,Szary,Tak,1 km,Tak,,,,,Arteon,5,,Tak,,,,Nowe,258 650,,,,,,,,,5,Volkswagen,,,,Kompakt
Tak,,,Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,,190 KM,,,4x4 (dołączany automatycznie),,Szary,Tak,1 km,Tak,,,,,T-Roc,5,,Tak,,,,Nowe,161 999,,2.0 TSI 4Mot Style DSG,,,,Tak,,,5,Volkswagen,,,,SUV
Tak,,G05 (2018-),Automatyczna,2024,,2 993 cm3,,,Polska,,Firma,Diesel,,,Metalik,286 KM,,,4x4 (dołączany automatycznie),,Szary,Tak,1 km,Tak,,,,,X5,5,,Tak,,,,Nowe,411 900,,xDrive30d mHEV sport,,,,,,,5,BMW,,,,SUV
,,,Manualna,2023,,1 498 cm3,,,,,Firma,Benzyna,,,,150 KM,,,Na przednie koła,,Czerwony,Tak,5 km,,,,,,Leon,5,,,,,,Nowe,129 900,,1.5 TSI,,,,Tak,,,,Cupra,,,,Auta miejskie
,,E46 (1998-2007),Automatyczna,2001,,2 979 cm3,,,,,Prywatne,Benzyna,,,,231 KM,,,,,Granatowy,,253 000 km,,,,,,Seria 3,5,,,,,,Używane,20 500,,,,,,Tak,,,,BMW,,,,Kombi
,,IV (2015-2023),Automatyczna,2015,,1 798 cm3,,,,,Prywatne,Hybryda,,,,99 KM,,,,,Biały,,103 000 km,,Tak,,,,Prius,5,,,,,,Używane,57 500,,,,,,Tak,,,,Toyota,,,,Kompakt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E46 (1998-2007),Automatyczna,2001,,2 979 cm3,,,,,Prywatne,Benzyna,,,,231 KM,,,,,Granatowy,,253 000 km,,,,,,Seria 3,5,,,,,,Używane,20 500,,,,,,Tak,,,,BMW,,,,Kombi
,,IV (2015-2023),Automatyczna,2015,,1 798 cm3,,,,,Prywatne,Hybryda,,,,99 KM,,,,,Biały,,103 000 km,,Tak,,,,Prius,5,,,,,,Używane,57 500,,,,,,Tak,,,,Toyota,,,,Kompakt
,,I (2007-2012),Manualna,2009,,1 396 cm3,,,,,Prywatne,Benzyna,,,Metalik,109 KM,,,Na przednie koła,,Czarny,,190 000 km,,,,,5.0 l/100km,I30,5,,,,145 g/km,,Używane,14 000,,,,,,Tak,,,5,Hyundai,7 l/100km,,,Auta małe
Tak,,B9 (2015-),Automatyczna,2023,,1 984 cm3,,,Polska,,Firma,Benzyna,,,Metalik,150 KM,,,Na przednie koła,,Czarny,,6 000 km,Tak,,,,,A4,4,,Tak,,,,Używane,161 900,,,,,,Tak,Tak,Tak,5,Audi,,,,Sedan
,,III (2009-2016),Manualna,2012,,1 461 cm3,,,Niemcy,,Firma,Diesel,,,,110 KM,,,Na przednie koła,,Czarny,Tak,289 000 km,Tak,Tak,,,,Scenic,5,Tak,,ZS837CM,,,Używane,18 200,,1.5dCi TomTom Edition,,Tak,,Tak,,Tak,5,Renault,5 l/100km,,,Minivan
,,,Manualna,2017,,1 997 cm3,,,,,Prywatne,Diesel,,,,120 KM,,,,,Biały,,260 000 km,,,,,,Jumpy Combi,4,,,,,,Używane,39 000,,,,,,Tak,,,3,Citroën,,,,Minivan
,,II (2014-),Automatyczna,2019,,1 950 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,163 KM,,,Na tylne koła,,Szary,Tak,182 200 km,,Tak,02 grudzień 2019,,6.0 l/100km,Klasa V,4,,,CTR44626,177 g/km,,Używane,168 800,,220 d 9G-Tronic (ekstra d³),,Tak,,Tak,,Tak,6,Mercedes-Benz,7 l/100km,,,Minivan
,,,Manualna,2013,,1 368 cm3,,,Niemcy,,Prywatne,Benzyna,,,Metalik,120 KM,,,Na przednie koła,,Czarny,Tak,178 000 km,,Tak,06 marzec 2014,,,Giulietta,5,,,LOBAU329,,,Używane,33 900,,,,,,Tak,,Tak,5,Alfa Romeo,,,,Auta miejskie
,,E46 (1998-2007),Manualna,2001,,2 993 cm3,,,,,Prywatne,Diesel,,,,204 KM,,,Na tylne koła,Tak,Srebrny,,322 000 km,,,,,,Seria 3,5,,,,,,Używane,20 000,,330d,,Tak,,Tak,,,,BMW,7 l/100km,,,Kombi
,,,Manualna,2015,,2 198 cm3,,,,,Prywatne,Diesel,,,,125 KM,,,,,Srebrny,,261 555 km,,,,,,Transit Custom,4,,,,,,Używane,65 000,,,,,,Tak,,,9,Ford,,,,Minivan
,,W167 (2019-),Automatyczna,2023,,2 989 cm3,,,Polska,,Firma,Diesel,,,Metalik,367 KM,,24 miesięcy,4x4 (stały),,Czarny,Tak,1 km,Tak,,,,,GLE,5,,Tak,,,,Nowe,501 000,,Coupe 450 d mHEV 4-Matic AMG Line,,,,,,,5,Mercedes-Benz,,,,SUV
,,G30/G31 (2017-2023),Automatyczna,2017,,2 993 cm3,,,,,Prywatne,Diesel,,,,265 KM,,,,,Czarny,,161 000 km,,,,,,Seria 5,5,,,,,,Używane,152 500,,530d xDrive Sport Line sport,,,,Tak,,,5,BMW,6 l/100km,,,Kombi
,,K (2015-2021),Manualna,2019,,1 598 cm3,,,Polska,,Prywatne,Benzyna,,,Perłowy,200 KM,,,Na przednie koła,,Biały,,99 338 km,,Tak,09 kwiecień 2019,,5.0 l/100km,Astra,5,,,DOA71695,142 g/km,,Używane,60 000,,V 1.6 T Enjoy S&S,,Tak,,Tak,,Tak,5,Opel,8 l/100km,,,Kombi
,,IV (2010-),Automatyczna,2012,,4 999 cm3,,,Stany Zjednoczone,,Prywatne,Benzyna,,,,375 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,144 754 km,,Tak,,,10.0 l/100km,Discovery,5,,,,328 g/km,,Używane,89 999,,IV 5.0 V8 HSE,,,,Tak,,,7,Land Rover,19 l/100km,,,SUV
,,,Manualna,2014,,1 595 cm3,,,Szwajcaria,,Prywatne,Benzyna,,,Metalik,122 KM,,,Na przednie koła,,Szary,Tak,126 517 km,,Tak,28 luty 2014,,4.0 l/100km,CLA,4,,,TKA 50NN,125 g/km,,Używane,64 900,,180 AMG Line,,Tak,,Tak,Tak,,5,Mercedes-Benz,7 l/100km,,,Coupe
,,E71 (2008-2014),Automatyczna,2009,,2 993 cm3,,,,,Prywatne,Diesel,,,Metalik,286 KM,,,4x4 (stały),,Czarny,Tak,299 200 km,,Tak,,,7.1 l/100km,X6,5,,,,220 g/km,,Używane,64 800,,xDrive35d,,Tak,,Tak,,,5,BMW,"10,50 l/100km",,,SUV
,,,Manualna,2020,,1 995 cm3,,,Polska,,Firma,Diesel,,,,130 KM,,12 miesięcy,Na przednie koła,,Biały,Tak,136 000 km,Tak,Tak,22 luty 2021,,,Transit Custom,3,,Tak,KR9VA46,,,Używane,126 900,,,,Tak,,Tak,Tak,Tak,9,Ford,,,,Minivan
,,B8 (2014-2023),Manualna,2017,,1 968 cm3,,,Polska,,Firma,Diesel,,,Metalik,150 KM,,,Na przednie koła,,Szary,Tak,240 000 km,Tak,Tak,05 wrzesień 2017,,3.0 l/100km,Passat,4,,Tak,WX95737,109 g/km,,Używane,49 900,,2.0 TDI BMT Trendline,,Tak,,Tak,Tak,Tak,5,Volkswagen,4 l/100km,,,Sedan
,,B9 (2015-),Automatyczna,2020,,1 968 cm3,,,Polska,,Firma,Diesel,,,Metalik,136 KM,,,Na przednie koła,,Biały,Tak,87 821 km,Tak,,09 grudzień 2020,,,A4,5,,Tak,,,,Używane,129 900,,30 TDI mHEV S Line S tronic,,Tak,,Tak,Tak,Tak,5,Audi,4 l/100km,,,Kombi
,,G11/12 (2015-2022),Automatyczna,2020,,2 993 cm3,,,,,Prywatne,Diesel,,,,286 KM,,,Na tylne koła,,Granatowy,,35 000 km,,Tak,,,,Seria 7,4,,,,,,Używane,260 000,,730d mHEV sport,,,,Tak,,,,BMW,,,,Sedan
,,U11 (2022-),Automatyczna,2022,,1 499 cm3,,,,,Firma,Benzyna,,,Metalik,136 KM,,,Na przednie koła,,Biały,Tak,37 006 km,Tak,,03 styczeń 2023,,,X1,5,,Tak,,,,Używane,189 900,,sDrive18i xLine,,Tak,,Tak,Tak,Tak,5,BMW,,,,SUV
Tak,,IV (2020-),Automatyczna,2024,,1 984 cm3,,,Polska,,Firma,Benzyna,,,,190 KM,,,4x4 (dołączany automatycznie),,Biały,Tak,4 km,Tak,,,,,Octavia,5,,Tak,,,,Nowe,171 470,,2.0 TSI 4x4 Style DSG,,,,,,,5,Skoda,,,,Kombi
Tak,,VII (2013-),Manualna,2020,,1 995 cm3,,,Polska,,Firma,Diesel,,,,130 KM,,6 miesięcy,Na przednie koła,,Biały,Tak,139 000 km,Tak,Tak,09 lipiec 2020,Tak,,Transit,4,,Tak,WZ667AP,,,Używane,119 900,,,,Tak,,Tak,Tak,Tak,7,Ford,,,,Minivan
,,II (1989-),Manualna,1999,,999 cm3,,,Polska,,Prywatne,Benzyna,,,,45 KM,,,Na przednie koła,,Niebieski,Tak,99 000 km,,Tak,,,4.0 l/100km,Uno,5,,,,,,Używane,2 900,,1.0 Fire,,Tak,,Tak,Tak,,5,Fiat,6 l/100km,,,Auta małe
,,J (2009-2019),Manualna,2011,,1 686 cm3,,,,,Prywatne,Diesel,,,,110 KM,,,,,Czarny,,280 000 km,,,,,,Astra,5,,,,,,Używane,7 000,,,,,,Tak,,,,Opel,,,,Kombi
,,IV (2020-),Manualna,2020,,1 498 cm3,,,Polska,,Prywatne,Benzyna,,,,150 KM,,,Na przednie koła,,Czarny,,138 500 km,,Tak,14 październik 2020,,,Octavia,5,,,WA8893E,,,Używane,79 900,,1.5 TSI ACT Style,,Tak,,Tak,,Tak,5,Skoda,,,,Sedan
,,,Manualna,2017,,1 999 cm3,,,,,Firma,Diesel,,,,150 KM,,,4x4 (dołączany automatycznie),,Bordowy,,189 000 km,,,,,4.0 l/100km,Discovery Sport,5,,,,134 g/km,,Używane,74 999,,2.0 TD4 HSE Luxury,,,,Tak,,,,Land Rover,6 l/100km,,,SUV
,,III (2014-2021),Manualna,2019,,999 cm3,,,,,Prywatne,Benzyna+LPG,,,,60 KM,,,Na przednie koła,,Niebieski,,258 570 km,,Tak,,,,Fabia,5,,,,,,Używane,22 500,,1.0 Active,,,,Tak,,,,Skoda,,,,Auta miejskie
,,Mk2 (2004-2011),Manualna,2010,,1 560 cm3,,,Polska,,Prywatne,Diesel,,,Matowy,109 KM,,,Na przednie koła,,Niebieski,Tak,313 000 km,,Tak,,,3.0 l/100km,Focus,5,,,,115 g/km,,Używane,10 500,,1.6 TDCi cDPF Gold X,,Tak,,Tak,,Tak,5,Ford,5 l/100km,,,Kombi
Tak,,G20/G21 (2019-),Automatyczna,2020,,1 998 cm3,,,Polska,,Firma,Benzyna,,,Metalik,184 KM,,,Na tylne koła,,Czarny,Tak,77 000 km,Tak,Tak,19 luty 2020,,5.0 l/100km,Seria 3,5,,Tak,WE4M719,151 g/km,,Używane,134 999,,320i M Sport Shadow sport,,Tak,,Tak,,Tak,5,BMW,7 l/100km,,,Kombi
,,,Manualna,2006,,1 328 cm3,,,Polska,,Prywatne,Benzyna,,,Perłowy,93 KM,,,Na przednie koła,,Żółty,Tak,185 000 km,,Tak,,,5.0 l/100km,Ignis,5,,,,154 g/km,,Używane,8 900,,1.3 Cool Mint,,Tak,,Tak,,,5,Suzuki,8 l/100km,,,SUV
Tak,,,Automatyczna,2024,,1 498 cm3,,,Polska,,Firma,Benzyna,,,Metalik,150 KM,,,Na przednie koła,,Czarny,Tak,5 km,Tak,,,,,Kamiq,5,,Tak,,,,Nowe,145 300,,,,,,,,,5,Skoda,,,,SUV
,,II (2003-2009),Automatyczna,2007,,1 998 cm3,,,,,Prywatne,Benzyna,,,,134 KM,,,,,Złoty,,197 856 km,,Tak,11 listopad 2007,,,Scenic,5,,,BV 455658,,,Używane,11 999,,,,,,Tak,,,5,Renault,,,,SUV
,,VI (2008-2013),Manualna,2011,,1 968 cm3,,,Niemcy,,Prywatne,Diesel,,,Metalik,140 KM,,,Na przednie koła,,Czarny,Tak,196 000 km,,Tak,05 maj 2011,,4.0 l/100km,Golf,5,,,FGH,132 g/km,,Używane,27 900,,VI 2.0 TDI Highline,,,,Tak,,Tak,5,Volkswagen,6 l/100km,,,Kombi
,,II (2013-),Manualna,2018,,1 499 cm3,,,Francja,,Prywatne,Diesel,,,Metalik,100 KM,,,Na przednie koła,,Srebrny,Tak,203 000 km,,Tak,02 marzec 2018,Tak,,Transit Connect,5,,,NO 5859X,,,Używane,62 730,,,,Tak,,Tak,,,5,Ford,,,,Minivan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
